episode,ckpt,distance_to_goal,SR,SPL,collisions_count
29.0,14.0,0.14,1.0,0.82,0.0
21.0,32.0,0.11,1.0,0.62,4.0
16.0,17.0,0.62,0.0,0.0,5.0
21.0,25.0,0.13,1.0,0.95,0.0
15.0,12.0,0.06,1.0,0.91,2.0
39.0,15.0,0.2,1.0,0.8,1.0
19.0,22.0,1.29,0.0,0.0,2.0
20.0,13.0,0.19,1.0,0.8,8.0
23.0,9.0,1.5,0.0,0.0,0.0
26.0,11.0,0.12,1.0,1.0,10.0
26.0,41.0,0.29,0.0,0.0,5.0
20.0,25.0,0.82,0.0,0.0,0.0
19.0,31.0,0.08,1.0,0.69,10.0
39.0,6.0,0.15,1.0,0.79,0.0
20.0,8.0,1.68,0.0,0.0,0.0
38.0,47.0,0.5,0.0,0.0,2.0
15.0,37.0,0.17,1.0,0.95,0.0
29.0,45.0,1.1,0.0,0.0,2.0
38.0,27.0,0.15,1.0,0.93,1.0
29.0,15.0,0.27,0.0,0.0,2.0
39.0,47.0,0.59,0.0,0.0,0.0
26.0,13.0,0.04,1.0,0.96,1.0
38.0,44.0,0.16,1.0,0.92,0.0
20.0,11.0,0.19,1.0,0.89,5.0
35.0,23.0,0.18,1.0,0.84,0.0
15.0,22.0,0.38,0.0,0.0,1.0
7.0,44.0,0.3,0.0,0.0,5.0
26.0,39.0,0.17,1.0,1.0,4.0
12.0,13.0,1.24,0.0,0.0,12.0
7.0,0.0,2.3,0.0,0.0,0.0
21.0,15.0,0.24,0.0,0.0,0.0
19.0,4.0,1.17,0.0,0.0,0.0
38.0,0.0,1.01,0.0,0.0,0.0
15.0,19.0,0.2,1.0,0.81,0.0
16.0,25.0,0.12,1.0,0.95,4.0
12.0,21.0,0.2,1.0,0.63,15.0
12.0,37.0,0.1,1.0,0.45,24.0
26.0,36.0,0.89,0.0,0.0,8.0
12.0,40.0,0.63,0.0,0.0,22.0
39.0,3.0,0.15,1.0,0.6,1.0
26.0,45.0,0.16,1.0,1.0,6.0
35.0,34.0,0.08,1.0,0.76,0.0
15.0,9.0,0.51,0.0,0.0,1.0
23.0,18.0,0.39,0.0,0.0,0.0
23.0,39.0,0.54,0.0,0.0,0.0
33.0,2.0,0.47,0.0,0.0,0.0
12.0,10.0,1.4,0.0,0.0,35.0
23.0,14.0,0.17,1.0,0.78,0.0
29.0,35.0,0.05,1.0,0.72,2.0
7.0,4.0,0.15,1.0,0.71,10.0
12.0,2.0,0.18,1.0,0.28,3.0
39.0,37.0,0.1,1.0,0.91,0.0
16.0,28.0,0.08,1.0,0.75,11.0
33.0,27.0,0.21,0.0,0.0,1.0
3.0,46.0,0.14,1.0,0.8,3.0
29.0,18.0,0.09,1.0,0.77,2.0
16.0,47.0,0.09,1.0,0.91,8.0
12.0,48.0,0.65,0.0,0.0,16.0
21.0,20.0,0.27,0.0,0.0,0.0
39.0,49.0,0.64,0.0,0.0,0.0
12.0,34.0,0.62,0.0,0.0,29.0
12.0,16.0,0.13,1.0,0.58,26.0
35.0,46.0,0.06,1.0,0.76,0.0
12.0,15.0,0.13,1.0,0.7,9.0
15.0,27.0,0.52,0.0,0.0,0.0
35.0,7.0,0.08,1.0,0.76,0.0
23.0,49.0,0.29,0.0,0.0,0.0
16.0,18.0,0.06,1.0,0.86,6.0
